M,N,K,PyTorch,Triton-PyTorch,Triton-Fused
1024.0,1024.0,1024.0,3.4,5.1,5.4
2048.0,2048.0,2048.0,6.2,9.3,11.9
3072.0,3072.0,3072.0,6.5,10.5,17.8
4096.0,4096.0,4096.0,6.3,9.6,24.2
5120.0,5120.0,5120.0,6.6,10.5,21.7
