M,N,K,PyTorch,Triton-PyTorch,Triton-Fused
1024.0,1024.0,1024.0,0.4,0.8,0.4
2048.0,2048.0,2048.0,0.7,1.1,1.2
3072.0,3072.0,3072.0,0.7,1.1,1.8
4096.0,4096.0,4096.0,0.7,1.2,2.4
5120.0,5120.0,5120.0,0.7,1.2,3.0
