M,N,K,cuBLAS,Triton
1024.0,1024.0,1024.0,1.4,2.3
2048.0,2048.0,2048.0,5.5,4.9
3072.0,3072.0,3072.0,6.5,6.4
4096.0,4096.0,4096.0,7.0,7.0
5120.0,5120.0,5120.0,6.0,7.2
