M,N,K,cuBLAS,Triton
1024.0,1024.0,1024.0,5.6,3.2
2048.0,2048.0,2048.0,18.2,6.7
3072.0,3072.0,3072.0,28.9,10.2
4096.0,4096.0,4096.0,32.4,13.8
5120.0,5120.0,5120.0,33.3,12.7
